tahun,armada_existing,penambahan_armada,armada_yang_beroperasi,armada_cadangan
2006,34,0,30,4
2007,34,3,30,4
2008,37,0,0,0
2009,37,10,40,4
2010,47,0,40,4
2011,47,5,40,4
2012,52,30,44,4
2013,"81 (51 bus sedang 6 Roda, 30 bus kecil 4 roda)","23 (8 Bus Sedang 6 Roda, 15 Bus Sedang 4 roda)",77,4
2014,"104 (59 bus sedang 6 roda, 45 bus kecil 4 roda)",69 unit bus sedang,75,29
2015,"140 (95 bus sedang 6 roda, 45 bus kecil 4 roda)",,135,5
