Date,Close
04/01/2010,311.349976
05/01/2010,309.978882
06/01/2010,302.164703
07/01/2010,295.130463
08/01/2010,299.06488
11/01/2010,298.612823
12/01/2010,293.332153
13/01/2010,291.648102
14/01/2010,293.019196
15/01/2010,288.126007
19/01/2010,291.911407
20/01/2010,288.329681
21/01/2010,289.606384
22/01/2010,273.227905
25/01/2010,268.255249
26/01/2010,269.457428
27/01/2010,269.298462
28/01/2010,265.418701
29/01/2010,263.257751
01/02/2010,264.787811
02/02/2010,263.843964
03/02/2010,268.662598
04/02/2010,261.687958
05/02/2010,263.928406
08/02/2010,265.011353
09/02/2010,266.486755
10/02/2010,265.498199
11/02/2010,266.466888
12/02/2010,264.837494
16/02/2010,268.901062
17/02/2010,267.366028
18/02/2010,269.854858
19/02/2010,268.632813
22/02/2010,269.64621
23/02/2010,265.806183
24/02/2010,264.017822
25/02/2010,261.514099
26/02/2010,261.697906
01/03/2010,264.623871
02/03/2010,268.78183
03/03/2010,270.898071
04/03/2010,275.503113
05/03/2010,280.282043
08/03/2010,279.422638
09/03/2010,278.285034
10/03/2010,286.362488
11/03/2010,288.692322
12/03/2010,287.897491
15/03/2010,279.770355
16/03/2010,280.773834
17/03/2010,280.952667
18/03/2010,281.369965
19/03/2010,278.190643
22/03/2010,276.94873
23/03/2010,272.726166
24/03/2010,276.864258
25/03/2010,279.621338
26/03/2010,279.526947
29/03/2010,279.407715
30/03/2010,281.523956
31/03/2010,281.727631
01/04/2010,282.562195
05/04/2010,283.660065
06/04/2010,282.274078
07/04/2010,279.949188
08/04/2010,281.911438
09/04/2010,281.280548
12/04/2010,284.514496
13/04/2010,291.489136
14/04/2010,292.596924
15/04/2010,295.726593
16/04/2010,273.297455
19/04/2010,273.272614
20/04/2010,275.726654
21/04/2010,275.35907
22/04/2010,271.762451
23/04/2010,270.734131
26/04/2010,264.102264
27/04/2010,262.820618
28/04/2010,262.885193
29/04/2010,264.281097
30/04/2010,261.151459
03/05/2010,263.585632
04/05/2010,251.54892
05/05/2010,253.232971
06/05/2010,247.723801
07/05/2010,244.976669
10/05/2010,259.139557
11/05/2010,252.880264
12/05/2010,251.062088
13/05/2010,253.789352
14/05/2010,252.125168
17/05/2010,252.34375
18/05/2010,247.574768
19/05/2010,245.617493
20/05/2010,235.970245
21/05/2010,234.499802
24/05/2010,237.0383
25/05/2010,236.993591
26/05/2010,236.198761
27/05/2010,243.645325
28/05/2010,241.245926
01/06/2010,239.626465
02/06/2010,245.090927
03/06/2010,251.166397
04/06/2010,247.748627
07/06/2010,241.191284
08/06/2010,240.823669
09/06/2010,235.478439
10/06/2010,241.931473
11/06/2010,242.671661
14/06/2010,240.033813
15/06/2010,247.385986
16/06/2010,249.015396
17/06/2010,248.42424
18/06/2010,248.399399
21/06/2010,242.701462
22/06/2010,241.553925
23/06/2010,239.467499
24/06/2010,236.014954
25/06/2010,234.812775
28/06/2010,234.514709
29/06/2010,225.662277
30/06/2010,221.037369
01/07/2010,218.325012
02/07/2010,216.864502
06/07/2010,216.626053
07/07/2010,223.645401
08/07/2010,226.804855
09/07/2010,232.234543
12/07/2010,236.377594
13/07/2010,243.019394
